friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p2_topmostsubform_0_page2_0_partvtable_0_item2_0_f2_18_0,topmostSubform[0].Page2[0].PartVTable[0].Item2[0].f2_18[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item3_0_f2_19_0,topmostSubform[0].Page2[0].PartVTable[0].Item3[0].f2_19[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item3_0_f2_20_0,topmostSubform[0].Page2[0].PartVTable[0].Item3[0].f2_20[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item4_0_f2_21_0,topmostSubform[0].Page2[0].PartVTable[0].Item4[0].f2_21[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item4_0_f2_22_0,topmostSubform[0].Page2[0].PartVTable[0].Item4[0].f2_22[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item5_0_f2_23_0,topmostSubform[0].Page2[0].PartVTable[0].Item5[0].f2_23[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item5_0_f2_24_0,topmostSubform[0].Page2[0].PartVTable[0].Item5[0].f2_24[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item6_0_f2_25_0,topmostSubform[0].Page2[0].PartVTable[0].Item6[0].f2_25[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item6_0_f2_26_0,topmostSubform[0].Page2[0].PartVTable[0].Item6[0].f2_26[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item7_0_f2_27_0,topmostSubform[0].Page2[0].PartVTable[0].Item7[0].f2_27[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item7_0_f2_28_0,topmostSubform[0].Page2[0].PartVTable[0].Item7[0].f2_28[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item8_0_f2_29_0,topmostSubform[0].Page2[0].PartVTable[0].Item8[0].f2_29[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item8_0_f2_30_0,topmostSubform[0].Page2[0].PartVTable[0].Item8[0].f2_30[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item9_0_f2_31_0,topmostSubform[0].Page2[0].PartVTable[0].Item9[0].f2_31[0],2,Text,,,,
p2_topmostsubform_0_page2_0_partvtable_0_item9_0_f2_32_0,topmostSubform[0].Page2[0].PartVTable[0].Item9[0].f2_32[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_33_0,topmostSubform[0].Page2[0].f2_33[0],2,Text,,,,
