friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p2_topmostsubform_0_page2_0_f2_16_0,topmostSubform[0].Page2[0].f2_16[0],2,Text,,,,
p2_name_of_sponsoring_entity,topmostSubform[0].Page2[0].f2_17[0],2,Text,Name of sponsoring entity:,,,
i_certify_that_the_entity_identified_in_part_i,topmostSubform[0].Page2[0].c2_7[0],2,Button,I certify that the entity identified in Part I:,1,,
i_certify_that_the_entity_identified_in_part_i_2,topmostSubform[0].Page2[0].c2_8[0],2,Button,I certify that the entity identified in Part I:,2,,
i_certify_that_the_ffi_identified_in_part_i,topmostSubform[0].Page3[0].c3_1[0],3,Button,I certify that the FFI identified in Part I:,1,,
i_certify_that_the_ffi_identified_in_part_i_2,topmostSubform[0].Page3[0].c3_2[0],3,Button,I certify that the FFI identified in Part I:,1,,
p3_name_of_sponsoring_entity,topmostSubform[0].Page3[0].f3_1[0],3,Text,Name of sponsoring entity:,,,
i_certify_that_the_entity_identified_in_part_i_3,topmostSubform[0].Page3[0].c3_3[0],3,Button,I certify that the entity identified in Part I:,1,,
i_certify_that_the_entity_identified_in_part_i_4,topmostSubform[0].Page3[0].c3_4[0],3,Button,I certify that the entity identified in Part I:,1,,
i_certify_that_the_entity_identified_in_part_i_5,topmostSubform[0].Page3[0].c3_5[0],3,Button,I certify that the entity identified in Part I:,1,,
all_owner_documented_ffis_check_here_i_certify_that_the_ffi_identified_in_part_i,topmostSubform[0].Page3[0].c3_6[0],3,Button,(All owner-documented FFIs check here) I certify that the FFI identified in Part I:,1,,
i_certify_that_the_ffi_identified_in_part_i_3,topmostSubform[0].Page4[0].c4_1[0],4,Button,I certify that the FFI identified in Part I:,1,,
i_certify_that_the_ffi_identified_in_part_i_has_provided_or_will_provide_an_auditor_s_letter_signed_within_4_years_of_the_date_of_payment,topmostSubform[0].Page4[0].c4_1[1],4,Button,"I certify that the FFI identified in Part I has provided, or will provide, an auditor's letter, signed within 4 years of the date of payment,",2,,
p4_topmostsubform_0_page4_0_c4_2_0,topmostSubform[0].Page4[0].c4_2[0],4,Button,,1,,
all_restricted_distributors_check_here_i_certify_that_the_entity_identified_in_part_i,topmostSubform[0].Page4[0].c4_3[0],4,Button,(All restricted distributors check here) I certify that the entity identified in Part I:,1,,
p4_topmostsubform_0_page4_0_c4_4_0,topmostSubform[0].Page4[0].c4_4[0],4,Button,,1,,
p4_topmostsubform_0_page4_0_c4_4_1,topmostSubform[0].Page4[0].c4_4[1],4,Button,,2,,
i_certify_that_the_entity_identified_in_part_i_6,topmostSubform[0].Page5[0].c5_1[0],5,Button,I certify that the entity identified in Part I:,1,,
p5_topmostsubform_0_page5_0_bulletedlist1_0_bullet1_0_f5_01_0,topmostSubform[0].Page5[0].BulletedList1[0].Bullet1[0].f5_01[0],5,Text,.,,,
model_1_iga_or_a,topmostSubform[0].Page5[0].BulletedList1[0].Bullet1[0].c5_2[0],5,Button,Model 1 IGA or a,1,,
model_2_iga_and,topmostSubform[0].Page5[0].BulletedList1[0].Bullet1[0].c5_2[1],5,Button,Model 2 IGA; and,2,,
p5_is_treated_as_a,topmostSubform[0].Page5[0].BulletedList1[0].Bullet1[0].f5_2[0],5,Text,is treated as a,,,
p5_topmostsubform_0_page5_0_bulletedlist1_0_bullet2_0_f5_03_0,topmostSubform[0].Page5[0].BulletedList1[0].Bullet2[0].f5_03[0],5,Text,.,,,
